mA[GeV],BR
0,1
0.215064,1
0.216744,0.851
0.221784,0.699
0.225985,0.6665
0.231025,0.6345
0.236906,0.618
0.241947,0.6005
0.246987,0.5875
0.252868,0.5755
0.260429,0.565
0.26967,0.5555
0.278071,0.5475
0.286472,0.54
0.297393,0.5295
0.327636,0.511
0.376362,0.475
0.383082,0.467
0.392323,0.4715
0.412486,0.461
0.425087,0.46
0.428447,0.4535
0.439368,0.449
0.44945,0.44
0.45701,0.4325
0.467092,0.437
0.475492,0.425
0.485574,0.4145
0.498175,0.409
0.512457,0.404
0.518337,0.3945
0.529258,0.395
0.534299,0.385
0.54186,0.373
0.558662,0.36
0.569583,0.3495
0.585545,0.3365
0.595626,0.3225
0.599826,0.314
0.607387,0.3065
0.610747,0.293
0.625029,0.2635
0.639311,0.2565
0.646871,0.266
0.651912,0.2345
0.659473,0.2265
0.668714,0.2175
0.672074,0.207
0.681315,0.198
0.687196,0.181
0.698957,0.167
0.706518,0.1515
0.719959,0.14
0.72668,0.125
0.740962,0.1105
0.755243,0.0905
0.767845,0.0905
0.777086,0.082
0.789687,0.052
0.798088,0.079
0.803129,0.1005
0.81321,0.1145
0.823291,0.129
0.831692,0.1415
0.841773,0.155
0.846813,0.17
0.854374,0.182
0.864455,0.1955
0.872856,0.205
0.878737,0.2195
0.887978,0.232
0.896379,0.247
0.90562,0.258
0.916541,0.2705
0.927462,0.283
0.936703,0.296
0.951825,0.3095
0.967787,0.321
0.977868,0.3225
0.987949,0.3335
0.99803,0.3415
1.00979,0.3245
1.01147,0.307
1.01231,0.2905
1.01987,0.188
1.02491,0.0445
1.03163,0.0265
1.03667,0.059
1.0434,0.173
1.0476,0.25
1.05264,0.27
1.06104,0.2945
1.06188,0.314
1.08036,0.3205
1.09716,0.334
1.10808,0.3155
1.11984,0.3425
1.13329,0.3505
1.15429,0.346
1.17445,0.3455
1.18957,0.338
1.20049,0.346
1.21981,0.342
1.22654,0.3615
1.23578,0.3455
1.24502,0.3475
1.25342,0.329
1.27358,0.329
1.28702,0.3275
1.30382,0.324
1.32063,0.316
1.33071,0.315
1.34247,0.313
1.35591,0.3005
1.36767,0.2905
1.38531,0.2895
1.40379,0.2865
1.41472,0.2715
1.4332,0.2845
1.45588,0.29
1.471,0.2795
1.48108,0.2645
1.49368,0.254
1.50713,0.243
1.52393,0.2365
1.54745,0.2385
1.56677,0.2345
1.58862,0.239
1.60458,0.23
1.62222,0.226
1.64154,0.228
1.6575,0.222
1.66254,0.208
1.67262,0.199
1.68103,0.2185
1.70035,0.2145
1.71295,0.2195
1.72807,0.216
1.75579,0.223
1.78184,0.2125
1.79276,0.2205
1.81292,0.2225
1.83056,0.2305
1.844,0.235
1.86081,0.225
1.87677,0.253
1.88265,0.261
1.90449,0.2545
1.91793,0.259
1.92885,0.2525
1.94061,0.257
1.94733,0.2495
1.96246,0.254
1.9759,0.253
1.98262,0.242
1.99522,0.2355
2.0053,0.227
2.01874,0.237
2.09015,0.236
2.15988,0.2325
2.22625,0.2305
2.29177,0.23
2.3447,0.2295
2.41191,0.2305
2.46651,0.23
2.51356,0.2305
2.57236,0.2305
2.62277,0.2305
3,0.2305
4,0.2305
5,0.2305
6,0.2305
7,0.2305
8,0.2305
9,0.2305
10,0.2305
